Tipo contaminante,Comuna,Ciudad,Tipo de emision,Año,Tipo vehículo,emicom_cantprom_anual
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,06325"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,09118"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,01094"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00352"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00308"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00061"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00139"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00216"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00061"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00356"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00514"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00061"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,02634"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,02309"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,01046"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,01616"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,0267"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,03849"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Vehiculo Comercial,"0,0091"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Vehiculo Comercial,"0,00798"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Vehiculo Comercial,"0,63506"
