Tipo contaminante,Comuna,Ciudad,Tipo de emision,Año,Tipo vehículo,emicom_cantprom_anual
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00089"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00132"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01174"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00229"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00315"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01174"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00061"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,34698"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"152,48713"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01853"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,0752"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00567"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00056"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"1,33828"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00605"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,0051"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03166"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0024"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00357"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03166"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00617"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00851"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03166"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00165"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,08636"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"39,76609"
